datetime,value
03-11-2020 08:00,0.008
03-11-2020 08:15,0.022
03-11-2020 08:30,0.02
03-11-2020 08:45,0.007
03-11-2020 09:00,0.02
03-11-2020 09:15,0.021
03-11-2020 09:30,0.008
03-11-2020 09:45,0.016
03-11-2020 10:00,0.021
03-11-2020 10:15,0.011
03-11-2020 10:30,0.014
03-11-2020 10:45,0.02
03-11-2020 11:00,0.015
03-11-2020 11:15,0.059
03-11-2020 11:30,0.024
03-11-2020 11:45,0.013
03-11-2020 12:00,0.014
03-11-2020 12:15,0.023
03-11-2020 12:30,0.012
03-11-2020 12:45,0.114
03-11-2020 13:00,0.199
03-11-2020 13:15,0.188
03-11-2020 13:30,0.187
03-11-2020 13:45,0.196
03-11-2020 14:00,0.123
03-11-2020 14:15,0.016
03-11-2020 14:30,0.024
03-11-2020 14:45,0.012
03-11-2020 15:00,0.018
03-11-2020 15:15,0.03
03-11-2020 15:30,0.041
03-11-2020 15:45,0.049
03-11-2020 16:00,0.035
03-11-2020 16:15,0.075
03-11-2020 16:30,0.104
03-11-2020 16:45,0.036
03-11-2020 17:00,0.051
03-11-2020 17:15,0.045
03-11-2020 17:30,0.012
03-11-2020 17:45,0.028
03-11-2020 18:00,0.018
03-11-2020 18:15,0.038
03-11-2020 18:30,0.038
03-11-2020 18:45,0.03
03-11-2020 19:00,0.072
03-11-2020 19:15,0.039
03-11-2020 19:30,0.037
03-11-2020 19:45,0.012
03-11-2020 20:00,0.037
03-11-2020 20:15,0.018
03-11-2020 20:30,0.037
03-11-2020 20:45,0.066
03-11-2020 21:00,0.057
03-11-2020 21:15,0.046
03-11-2020 21:30,0.046
03-11-2020 21:45,0.057
03-11-2020 22:00,0.037
03-11-2020 22:15,0.054
03-11-2020 22:30,0.048
03-11-2020 22:45,0.049
03-11-2020 23:00,0.053
03-11-2020 23:15,0.023
03-11-2020 23:30,0.041
03-11-2020 23:45,0.028
04-11-2020 00:00,0.024
04-11-2020 00:15,0.038
04-11-2020 00:30,0.026
04-11-2020 00:45,0.027
04-11-2020 01:00,0.039
04-11-2020 01:15,0.024
04-11-2020 01:30,0.028
04-11-2020 01:45,0.036
04-11-2020 02:00,0.024
04-11-2020 02:15,0.028
04-11-2020 02:30,0.037
04-11-2020 02:45,0.023
04-11-2020 03:00,0.029
04-11-2020 03:15,0.034
04-11-2020 03:30,0.012
04-11-2020 03:45,0.019
04-11-2020 04:00,0.026
04-11-2020 04:15,0.012
04-11-2020 04:30,0.017
04-11-2020 04:45,0.024
04-11-2020 05:00,0.01
04-11-2020 05:15,0.016
04-11-2020 05:30,0.023
04-11-2020 05:45,0.012
04-11-2020 06:00,0.015
04-11-2020 06:15,0.023
04-11-2020 06:30,0.012
04-11-2020 06:45,0.014
04-11-2020 07:00,0.023
04-11-2020 07:15,0.013
04-11-2020 07:30,0.013
04-11-2020 07:45,0.023
04-11-2020 08:00,0.014
04-11-2020 08:15,0.012
04-11-2020 08:30,0.022
04-11-2020 08:45,0.015
04-11-2020 09:00,0.01
04-11-2020 09:15,0.022
04-11-2020 09:30,0.016
04-11-2020 09:45,0.009
04-11-2020 10:00,0.021
04-11-2020 10:15,0.018
04-11-2020 10:30,0.007
04-11-2020 10:45,0.022
04-11-2020 11:00,0.02
04-11-2020 11:15,0.054
04-11-2020 11:30,0.036
04-11-2020 11:45,0.045
04-11-2020 12:00,0.204
04-11-2020 12:15,0.215
04-11-2020 12:30,0.211
04-11-2020 12:45,0.199
04-11-2020 13:00,0.196
04-11-2020 13:15,0.199
04-11-2020 13:30,0.128
04-11-2020 13:45,0.041
04-11-2020 14:00,0.056
04-11-2020 14:15,0.042
04-11-2020 14:30,0.043
04-11-2020 14:45,0.053
04-11-2020 15:00,0.038
04-11-2020 15:15,0.053
04-11-2020 15:30,0.091
04-11-2020 15:45,0.042
04-11-2020 16:00,0.054
04-11-2020 16:15,0.036
04-11-2020 16:30,0.047
04-11-2020 16:45,0.051
04-11-2020 17:00,0.015
04-11-2020 17:15,0.034
04-11-2020 17:30,0.155
04-11-2020 17:45,0.015
04-11-2020 18:00,0.019
04-11-2020 18:15,0.026
04-11-2020 18:30,0.012
04-11-2020 18:45,0.018
04-11-2020 19:00,0.048
04-11-2020 19:15,0.043
04-11-2020 19:30,0.043
04-11-2020 19:45,0.05
04-11-2020 20:00,0.043
04-11-2020 20:15,0.042
04-11-2020 20:30,0.06
04-11-2020 20:45,0.038
04-11-2020 21:00,0.057
04-11-2020 21:15,0.045
04-11-2020 21:30,0.042
04-11-2020 21:45,0.055
04-11-2020 22:00,0.04
04-11-2020 22:15,0.034
04-11-2020 22:30,0.019
04-11-2020 22:45,0.024
04-11-2020 23:00,0.033
04-11-2020 23:15,0.02
04-11-2020 23:30,0.038
04-11-2020 23:45,0.026
05-11-2020 00:00,0.027
05-11-2020 00:15,0.037
05-11-2020 00:30,0.025
05-11-2020 00:45,0.028
05-11-2020 01:00,0.036
05-11-2020 01:15,0.024
05-11-2020 01:30,0.027
05-11-2020 01:45,0.036
05-11-2020 02:00,0.024
05-11-2020 02:15,0.028
05-11-2020 02:30,0.035
05-11-2020 02:45,0.024
05-11-2020 03:00,0.027
05-11-2020 03:15,0.036
05-11-2020 03:30,0.024
05-11-2020 03:45,0.021
05-11-2020 04:00,0.03
05-11-2020 04:15,0.038
05-11-2020 04:30,0.022
05-11-2020 04:45,0.043
05-11-2020 05:00,0.038
05-11-2020 05:15,0.036
05-11-2020 05:30,0.016
05-11-2020 05:45,0.029
05-11-2020 06:00,0.01
05-11-2020 06:15,0.026
05-11-2020 06:30,0.018
05-11-2020 06:45,0.012
05-11-2020 07:00,0.026
05-11-2020 07:15,0.014
05-11-2020 07:30,0.014
05-11-2020 07:45,0.025
05-11-2020 08:00,0.012
